Lettera,       a,       à,       b,       c,       d,       e,       è,       é,       f,       g,       h,       i,       ì,       j,       k,       l,       m,       n,       o,       ò,       p,       q,       r,       s,       t,       u,       ù,       v,       w,       x,       y,       z,       0
      a,      13,       0,    7608,   15189,    6639,     936,       0,       0,    5180,   10615,     430,    7985,       7,      95,     294,   23795,   20776,   51320,     250,       0,    7458,     107,   41695,   28265,   51986,    2921,       1,   21759,     103,     135,     302,    6791,   50224
      à,       0,       0,       1,       3,       4,       2,       0,       0,       1,       0,       3,       3,       0,       0,       1,       9,       8,      20,       1,       0,       5,       0,      20,      12,       6,       1,       0,       7,       0,       0,       0,       2,    1971
      b,    7956,       6,    8980,      30,     123,    9950,       6,      15,       6,       1,      49,   10700,      18,      11,       1,    1108,      22,      42,    4685,      18,       2,       1,    4508,     109,      11,    2529,       7,       8,       6,       0,      60,       2,     100
      c,   30332,      11,      12,   16777,      18,   13668,       7,      14,       4,      12,   18269,   26077,      30,       0,     414,    2059,      20,     264,   31727,     201,       5,     603,    5579,      42,     354,    4471,       5,       5,       2,       3,      44,      17,     246
      d,    9071,       9,      20,      19,    1679,   16772,      13,      79,      24,      78,      95,   21217,      54,      11,       5,      59,      46,      32,   17226,      86,       3,       2,    2481,     141,      34,    2931,      10,      24,      35,       3,      77,       4,     823
      e,    2658,       1,    6938,    7261,    6162,     926,       0,       1,    2134,   10896,     252,    4648,       3,      19,      98,   13804,   11808,   32951,    2470,       8,    2933,     540,   70727,   24429,   19845,    1398,       1,    6002,      99,     284,     252,    2895,   78740
      è,       1,       0,       0,       7,       3,       1,       0,       0,       0,      12,       0,       1,       0,       0,       0,       7,      15,      13,       2,       0,       1,       2,      58,       9,      14,       0,       0,      10,       0,       0,       0,       0,      74
      é,       9,       0,       7,      36,      23,      57,       0,       1,       4,      18,       0,       4,       0,       5,       0,      35,      28,      23,      10,       0,      17,       4,      60,      48,      46,       0,       0,      21,       0,       0,       0,       4,     257
      f,    5925,       7,       4,       1,       5,    5223,       3,      13,    5029,      26,       3,   11824,      12,       1,       8,    1302,      12,       4,    6614,      19,       1,       0,    4106,      23,     171,    1975,       3,       2,       0,       0,       5,       0,     173
      g,    8631,       4,      18,       5,      40,    8187,      10,      15,      17,    8696,    3373,   15230,      14,       2,      11,    7298,     250,    4534,    5489,      64,       6,       1,    7033,      88,      52,    4253,       3,       3,      19,       0,      22,      10,     617
      h,    1408,       4,      26,       9,      17,   10724,      15,      77,       6,       8,     233,   11112,      17,      11,       9,      85,     105,      81,     574,       2,       4,       0,     152,      28,     107,     278,       5,     164,      35,      31,      76,       6,     808
      i,   40607,      14,    3832,   35413,    8301,   13121,      42,      18,    6215,    8465,     138,     727,       1,      61,     147,   14373,   19127,   47619,   20637,     370,    5363,     367,   11880,   28485,   20093,    3598,      24,   10020,      16,      90,      16,    9635,   78179
      ì,      43,       0,       0,       6,       5,      16,       0,       0,       1,       0,      23,       2,      14,       0,       0,       3,       7,      19,      23,       0,       2,       0,      18,      11,      10,       0,       0,      12,       0,       1,       0,       1,     371
      j,     262,       3,       0,       3,       2,     103,       2,       4,       1,       2,       5,      97,       0,       3,      16,       1,       2,       2,     196,       0,       1,       0,       4,       0,       3,     134,       1,       0,       0,       0,       3,       0,      57
      k,     439,       1,      12,       0,       5,     492,       0,       0,       7,      10,      79,     393,       0,       9,      47,      76,      21,      28,     177,       1,       1,       0,      72,     103,      30,      95,       0,       4,      14,       0,      52,       1,     382
