a;0,00 ;0,00 ;2,10 ;4,19 ;1,83 ;0,26 ;0,00 ;0,00 ;1,43 ;2,93 ;0,12 ;2,20 ;0,00 ;0,03 ;0,08 ;6,56 ;5,73 ;14,14 ;0,07 ;0,00 ;2,06 ;0,03 ;11,49 ;7,79 ;14,33 ;0,80 ;0,00 ;6,00 ;0,03 ;0,04 ;0,08 ;1,87 ;13,84 ;
à;0,00 ;0,00 ;0,05 ;0,14 ;0,19 ;0,10 ;0,00 ;0,00 ;0,05 ;0,00 ;0,14 ;0,14 ;0,00 ;0,00 ;0,05 ;0,43 ;0,38 ;0,96 ;0,05 ;0,00 ;0,24 ;0,00 ;0,96 ;0,58 ;0,29 ;0,05 ;0,00 ;0,34 ;0,00 ;0,00 ;0,00 ;0,10 ;94,76 ;
b;15,58 ;0,01 ;17,58 ;0,06 ;0,24 ;19,48 ;0,01 ;0,03 ;0,01 ;0,00 ;0,10 ;20,95 ;0,04 ;0,02 ;0,00 ;2,17 ;0,04 ;0,08 ;9,17 ;0,04 ;0,00 ;0,00 ;8,83 ;0,21 ;0,02 ;4,95 ;0,01 ;0,02 ;0,01 ;0,00 ;0,12 ;0,00 ;0,20 ;
c;20,05 ;0,01 ;0,01 ;11,09 ;0,01 ;9,03 ;0,00 ;0,01 ;0,00 ;0,01 ;12,08 ;17,24 ;0,02 ;0,00 ;0,27 ;1,36 ;0,01 ;0,17 ;20,97 ;0,13 ;0,00 ;0,40 ;3,69 ;0,03 ;0,23 ;2,96 ;0,00 ;0,00 ;0,00 ;0,00 ;0,03 ;0,01 ;0,16 ;
d;12,40 ;0,01 ;0,03 ;0,03 ;2,29 ;22,92 ;0,02 ;0,11 ;0,03 ;0,11 ;0,13 ;29,00 ;0,07 ;0,02 ;0,01 ;0,08 ;0,06 ;0,04 ;23,54 ;0,12 ;0,00 ;0,00 ;3,39 ;0,19 ;0,05 ;4,01 ;0,01 ;0,03 ;0,05 ;0,00 ;0,11 ;0,01 ;1,12 ;
e;0,85 ;0,00 ;2,23 ;2,33 ;1,98 ;0,30 ;0,00 ;0,00 ;0,69 ;3,50 ;0,08 ;1,49 ;0,00 ;0,01 ;0,03 ;4,44 ;3,79 ;10,59 ;0,79 ;0,00 ;0,94 ;0,17 ;22,73 ;7,85 ;6,38 ;0,45 ;0,00 ;1,93 ;0,03 ;0,09 ;0,08 ;0,93 ;25,30 ;
è;0,43 ;0,00 ;0,00 ;3,04 ;1,30 ;0,43 ;0,00 ;0,00 ;0,00 ;5,22 ;0,00 ;0,43 ;0,00 ;0,00 ;0,00 ;3,04 ;6,52 ;5,65 ;0,87 ;0,00 ;0,43 ;0,87 ;25,22 ;3,91 ;6,09 ;0,00 ;0,00 ;4,35 ;0,00 ;0,00 ;0,00 ;0,00 ;32,17 ;
é;1,26 ;0,00 ;0,98 ;5,02 ;3,21 ;7,95 ;0,00 ;0,14 ;0,56 ;2,51 ;0,00 ;0,56 ;0,00 ;0,70 ;0,00 ;4,88 ;3,91 ;3,21 ;1,39 ;0,00 ;2,37 ;0,56 ;8,37 ;6,69 ;6,42 ;0,00 ;0,00 ;2,93 ;0,00 ;0,00 ;0,00 ;0,56 ;35,84 ;
f;13,94 ;0,02 ;0,01 ;0,00 ;0,01 ;12,29 ;0,01 ;0,03 ;11,83 ;0,06 ;0,01 ;27,83 ;0,03 ;0,00 ;0,02 ;3,06 ;0,03 ;0,01 ;15,56 ;0,04 ;0,00 ;0,00 ;9,66 ;0,05 ;0,40 ;4,65 ;0,01 ;0,00 ;0,00 ;0,00 ;0,01 ;0,00 ;0,41 ;
g;11,66 ;0,01 ;0,02 ;0,01 ;0,05 ;11,06 ;0,01 ;0,02 ;0,02 ;11,75 ;4,56 ;20,58 ;0,02 ;0,00 ;0,01 ;9,86 ;0,34 ;6,13 ;7,42 ;0,09 ;0,01 ;0,00 ;9,50 ;0,12 ;0,07 ;5,75 ;0,00 ;0,00 ;0,03 ;0,00 ;0,03 ;0,01 ;0,83 ;
h;5,37 ;0,02 ;0,10 ;0,03 ;0,06 ;40,90 ;0,06 ;0,29 ;0,02 ;0,03 ;0,89 ;42,38 ;0,06 ;0,04 ;0,03 ;0,32 ;0,40 ;0,31 ;2,19 ;0,01 ;0,02 ;0,00 ;0,58 ;0,11 ;0,41 ;1,06 ;0,02 ;0,63 ;0,13 ;0,12 ;0,29 ;0,02 ;3,08 ;
i;10,49 ;0,00 ;0,99 ;9,15 ;2,14 ;3,39 ;0,01 ;0,00 ;1,61 ;2,19 ;0,04 ;0,19 ;0,00 ;0,02 ;0,04 ;3,71 ;4,94 ;12,30 ;5,33 ;0,10 ;1,39 ;0,09 ;3,07 ;7,36 ;5,19 ;0,93 ;0,01 ;2,59 ;0,00 ;0,02 ;0,00 ;2,49 ;20,20 ;
